emotion,word,other_mean,distinctiveness
Anger,bukan,0.0013187777777777777,0.03206522222222222
Anger,jawa,0.0,0.0291
Anger,masalah,0.0,0.0275
Anger,jantung,0.0,0.027186
Anger,donut,0.0,0.026444
Anger,kemampuan,0.0,0.024816
Anger,kau,0.0,0.023518
Anger,bagus,0.0,0.023013
Anger,teori,0.0,0.022012
Anger,speed,0.0,0.021625
Anger,kira,0.0,0.021362
Anger,satu,0.003322888888888889,0.020699111111111113
Anger,minggir,0.0,0.020544
Anger,indonesia,0.0036782222222222225,0.019900777777777778
Anger,politik,0.0,0.019346
Anger,gampang,0.0,0.018129
Anger,berapa,0.0,0.018044
Anger,kaya,0.0,0.0177
Anger,lawan,0.0,0.017519
Anger,lihat,0.0016883333333333334,0.017129666666666668
Anger,nah,0.006018333333333333,0.016746666666666667
Anger,stress,0.0,0.016681
Anger,betul,0.0,0.01639
Anger,semua,0.0014774444444444444,0.016007555555555556
Anger,teman,0.006332222222222222,0.01460877777777778
Anger,punya,0.003017777777777777,0.013138222222222223
Anger,gini,0.004965666666666666,0.012436333333333334
Anger,banyak,0.006695555555555556,0.012296444444444443
Anger,kalian,0.015633222222222225,0.007333777777777776
Anger,baru,0.0013585555555555556,-0.0013585555555555556
Anger,otot,0.0013612222222222222,-0.0013612222222222222
Anger,1,0.0013735555555555556,-0.0013735555555555556
Anger,coba,0.0014201111111111111,-0.0014201111111111111
Anger,sunscreen,0.001426,-0.001426
Anger,cuma,0.001432888888888889,-0.001432888888888889
Anger,warnanya,0.0014552222222222221,-0.0014552222222222221
Anger,olaraga,0.0014626666666666668,-0.0014626666666666668
Anger,nama,0.0014633333333333332,-0.0014633333333333332
Anger,waktu,0.0015281111111111112,-0.0015281111111111112
Anger,perunggu,0.0015707777777777777,-0.0015707777777777777
Anger,selamat,0.0015824444444444445,-0.0015824444444444445
Anger,kuyup,0.001583111111111111,-0.001583111111111111
Anger,kaki,0.0015944444444444443,-0.0015944444444444443
Anger,ayo,0.0016146666666666666,-0.0016146666666666666
Anger,olahraga,0.0016164444444444444,-0.0016164444444444444
Anger,allah,0.0016466666666666667,-0.0016466666666666667
Anger,lux,0.0016905555555555554,-0.0016905555555555554
Anger,azik,0.0016954444444444445,-0.0016954444444444445
Anger,bagian,0.0017051111111111112,-0.0017051111111111112
Anger,kali,0.0017254444444444444,-0.0017254444444444444
Anger,fit,0.0018764444444444445,-0.0018764444444444445
Anger,skin,0.0019187777777777777,-0.0019187777777777777
Anger,oxford,0.001997333333333333,-0.001997333333333333
Anger,tim,0.002041222222222222,-0.002041222222222222
Anger,oh,0.0022363333333333332,-0.0022363333333333332
Anger,anduk,0.0023071111111111113,-0.0023071111111111113
Anger,paddle,0.0023071111111111113,-0.0023071111111111113
Anger,beli,0.002391111111111111,-0.002391111111111111
Anger,mam,0.002417666666666667,-0.002417666666666667
Anger,kemaren,0.002419111111111111,-0.002419111111111111
Anger,muka,0.0024392222222222224,-0.0024392222222222224
Anger,asupan,0.0024495555555555555,-0.0024495555555555555
Anger,mangsa,0.002455111111111111,-0.002455111111111111
Anger,cakup,0.002547111111111111,-0.002547111111111111
Anger,menang,0.0025672222222222225,-0.0025672222222222225
Anger,agresif,0.002573,-0.002573
Anger,keluar,0.0025870000000000003,-0.0025870000000000003
Anger,enak,0.002603222222222222,-0.002603222222222222
Anger,atasnya,0.0026163333333333334,-0.0026163333333333334
Anger,tulkit,0.0026404444444444444,-0.0026404444444444444
Anger,olah,0.002658111111111111,-0.002658111111111111
Anger,gua,0.002668111111111111,-0.002668111111111111
Anger,pilih,0.002696888888888889,-0.002696888888888889
Anger,budiman,0.0027294444444444445,-0.0027294444444444445
Anger,aliran,0.0027305555555555555,-0.0027305555555555555
Anger,up,0.0027404444444444442,-0.0027404444444444442
Anger,perut,0.002747,-0.002747
Anger,sekali,0.0027544444444444443,-0.0027544444444444443
Anger,gula,0.0027635555555555556,-0.0027635555555555556
Anger,takut,0.002896222222222222,-0.002896222222222222
Anger,shade,0.0029016666666666665,-0.0029016666666666665
Anger,gajah,0.002906,-0.002906
Anger,nyangkut,0.002958,-0.002958
Anger,susah,0.0029883333333333333,-0.0029883333333333333
Anger,atlet,0.0030091111111111113,-0.0030091111111111113
Anger,bicara,0.0030202222222222223,-0.0030202222222222223
Anger,bitcoin,0.0030221111111111113,-0.0030221111111111113
Anger,koroktor,0.0030596666666666667,-0.0030596666666666667
Anger,patuk,0.003076111111111111,-0.003076111111111111
Anger,2,0.003079111111111111,-0.003079111111111111
Anger,bersiap,0.003099888888888889,-0.003099888888888889
Anger,sampai,0.0032014444444444443,-0.0032014444444444443
Anger,pasar,0.0034455555555555554,-0.0034455555555555554
Anger,warda,0.0034997777777777774,-0.0034997777777777774
Anger,nutrisi,0.0035057777777777774,-0.0035057777777777774
Anger,rian,0.003572777777777778,-0.003572777777777778
