key,split,id,emotion,url
gd_12YBpn9zWc_3FfDadbmlip4s98_GjqUGY,train,75,Proud,https://drive.google.com/file/d/12YBpn9zWc_3FfDadbmlip4s98_GjqUGY/view?usp=share_link
gd_12YBpn9zWc_3FfDadbmlip4s98_GjqUGY,train,76,Trust,https://drive.google.com/file/d/12YBpn9zWc_3FfDadbmlip4s98_GjqUGY/view?usp=share_link
gd_12YBpn9zWc_3FfDadbmlip4s98_GjqUGY,train,89,Trust,https://drive.google.com/file/d/12YBpn9zWc_3FfDadbmlip4s98_GjqUGY/view?usp=share_link
gd_12YBpn9zWc_3FfDadbmlip4s98_GjqUGY,train,90,Fear,https://drive.google.com/file/d/12YBpn9zWc_3FfDadbmlip4s98_GjqUGY/view?usp=share_link
gd_12YBpn9zWc_3FfDadbmlip4s98_GjqUGY,train,91,Neutral,https://drive.google.com/file/d/12YBpn9zWc_3FfDadbmlip4s98_GjqUGY/view?usp=share_link
gd_12YBpn9zWc_3FfDadbmlip4s98_GjqUGY,train,92,Surprise,https://drive.google.com/file/d/12YBpn9zWc_3FfDadbmlip4s98_GjqUGY/view?usp=share_link
gd_12YBpn9zWc_3FfDadbmlip4s98_GjqUGY,train,93,Proud,https://drive.google.com/file/d/12YBpn9zWc_3FfDadbmlip4s98_GjqUGY/view?usp=share_link
gd_12YBpn9zWc_3FfDadbmlip4s98_GjqUGY,train,94,Surprise,https://drive.google.com/file/d/12YBpn9zWc_3FfDadbmlip4s98_GjqUGY/view?usp=share_link
gd_12YBpn9zWc_3FfDadbmlip4s98_GjqUGY,train,95,Trust,https://drive.google.com/file/d/12YBpn9zWc_3FfDadbmlip4s98_GjqUGY/view?usp=share_link
gd_12YBpn9zWc_3FfDadbmlip4s98_GjqUGY,train,96,Proud,https://drive.google.com/file/d/12YBpn9zWc_3FfDadbmlip4s98_GjqUGY/view?usp=share_link
gd_12YBpn9zWc_3FfDadbmlip4s98_GjqUGY,train,97,Trust,https://drive.google.com/file/d/12YBpn9zWc_3FfDadbmlip4s98_GjqUGY/view?usp=share_link
