emotion,word,other_mean,distinctiveness
Anger,bukan,0.0013187777777777,0.0320652222222222
Anger,jawa,0.0,0.0291
Anger,masalah,0.0,0.0275
Anger,jantung,0.0,0.027186
Anger,donut,0.0,0.026444
Anger,kemampuan,0.0,0.024816
Anger,kau,0.0,0.023518
Anger,bagus,0.0,0.023013
Anger,teori,0.0,0.022012
Anger,speed,0.0,0.021625
Anger,kira,0.0,0.021362
Anger,satu,0.0033228888888888,0.0206991111111111
Anger,minggir,0.0,0.020544
Anger,indonesia,0.0036782222222222,0.0199007777777777
Anger,politik,0.0,0.019346
Anger,gampang,0.0,0.018129
Anger,berapa,0.0,0.018044
Anger,kaya,0.0,0.0177
Anger,lawan,0.0,0.017519
Anger,lihat,0.0016883333333333,0.0171296666666666
Anger,nah,0.0060183333333333,0.0167466666666666
Anger,stress,0.0,0.016681
Anger,betul,0.0,0.01639
Anger,semua,0.0014774444444444,0.0160075555555555
Anger,teman,0.0063322222222222,0.0146087777777777
Anger,punya,0.0030177777777777,0.0131382222222222
Anger,gini,0.0049656666666666,0.0124363333333333
Anger,banyak,0.0066955555555555,0.0122964444444444
Anger,kalian,0.0156332222222222,0.0073337777777777
Fear,saham,0.0,0.09336
Fear,pusar,0.0,0.051261
Fear,turun,0.0,0.049418
Fear,otak,0.0,0.048169
Fear,triangle,0.0,0.043192
Fear,safat,0.0,0.037895
Fear,jalan,0.0012070909090909,0.037282909090909
Fear,terangkono,0.0,0.036848
Fear,cewek,0.0,0.034653
Fear,hati,0.0,0.034261
Fear,kb,0.0,0.033686
Fear,jangan,0.0,0.032577
Fear,wanita,0.0,0.032404
Fear,rian,0.0,0.032155
Fear,pasar,0.0,0.03101
Fear,koroktor,0.0,0.027537
Fear,bitcoin,0.0,0.027199
Fear,susah,0.0,0.026895
Fear,nyangkut,0.0,0.026622
Fear,takut,0.0,0.026066
Fear,budiman,0.0,0.024565
Fear,pilih,0.0,0.024272
Fear,olah,0.0,0.023923
Fear,atasnya,0.0,0.023547
Fear,keluar,0.0,0.023283
Fear,agresif,0.0,0.023157
Fear,naik,0.0013158181818181,0.0224241818181818
Fear,mindset,0.0119298181818181,0.0220371818181818
Fear,kejutan,0.0088200909090909,0.016350909090909
Fear,aktivitas,0.0086704545454545,0.0151835454545454
Joy,jakarta,0.002721909090909,0.0523060909090909
Joy,mobil,0.0034285454545454,0.0277714545454545
Joy,bicara,0.0,0.027182
Joy,sekali,0.0,0.02479
Joy,menang,0.0,0.023105
